Team Number,Mu,Sigma
6008,26.2757,4.92051
6458,25.9506,4.71551
6390,25.7359,4.93344
5630,22.9121,3.47665
4627,27.8238,3.2299
2130,24.468,4.27925
216,23.9258,2.06472
6679,24.693,4.71218
5515,26.2649,3.3182
6178,19.8385,5.45444
6351,21.0804,5.10458
4733,25.3707,4.94556
5883,21.5875,4.98264
5725,23.6643,5.00834
6364,23.0807,4.93958
5597,25.3049,5.14927
6673,24.0377,5.21888
6041,22.5909,5.07241
3216,21.529,5.20573
4625,24.7499,5.06481
5118,24.5683,3.47905
6703,24.2742,5.02878
6563,23.752,4.95802
6188,24.1294,5.09299
6169,25.155,5.00241
6485,22.3467,4.94212
6719,24.053,5.33067
6700,24.6708,5.02156
6701,26.168,5.06815
6403,25.2579,5.23731
6408,19.7531,5.09148
4634,24.3455,4.91805
6724,23.8392,5.06926
179,28.8981,3.17518
180,32.9065,3.32619
2783,25.0146,2.97855
1319,29.2237,3.26614
79,25.6263,2.79598
6055,24.9419,3.14148
2016,25.1575,2.13072
1108,21.8841,3.68791
4451,28.9225,3.53845
5842,28.1509,2.6821
6366,23.1082,3.46576
3490,26.7451,3.66221
1369,23.6495,3.58311
2010,27.1554,3.26148
343,24.6378,3.53391
2556,25.3537,2.95578
6396,26.2313,4.26985
2815,23.7095,3.81341
3814,25.8583,3.29283
4965,25.7249,3.4708
6491,23.7482,4.64254
4740,20.2559,4.77058
6373,21.2004,4.63663
5616,24.1755,4.69638
4013,22.2584,3.87762
547,22.8195,4.73836
4471,25.1014,3.32906
3861,24.1571,4.72094
2386,25.025,2.1055
4707,22.7167,4.95339
1539,22.141,3.58658
5551,24.3208,4.84012
442,24.0611,4.60264
5045,21.1911,3.75777
5858,22.5969,4.73797
5845,24.7674,4.55484
5005,24.0574,4.55859
4924,24.8998,4.95052
3319,23.5555,3.48086
1758,27.7785,3.71411
3139,24.7684,4.491
2973,25.0421,4.77726
6107,24.1685,4.46736
5721,25.175,3.70172
5058,26.6536,4.61761
4635,27.5587,3.17673
4522,28.2274,3.0261
3991,25.9782,3.4502
16,31.4597,3.41333
5889,22.8213,3.88895
3616,28.6408,3.40496
3160,27.4328,3.89287
1421,25.0559,3.78208
2080,25.0696,3.80551
364,23.9282,3.69857
5437,26.0651,3.54639
3039,26.6566,3.20068
141,26.1665,1.73179
4523,25.8478,3.568
6640,22.6349,4.67478
2992,26.3286,2.60255
3937,28.294,3.27498
1775,22.3032,3.776
3507,21.2487,3.74774
5006,25.5874,3.72615
5454,26.0235,5.10729
6602,24.2231,5.254
3612,20.9199,3.72579
938,18.6712,3.87522
4490,27.6786,5.12598
6183,23.8233,4.86323
5153,21.9111,4.91457
6586,17.2692,5.13915
5002,26.2025,3.70155
3061,26.6815,3.88342
6131,21.3238,5.13868
4524,20.97,3.94373
6492,21.8254,5.26107
3468,23.1117,4.85335
5568,23.289,5.01102
1912,24.4238,3.81877
6186,20.0017,4.99124
2004,20.7651,3.9069
3350,23.5886,3.56488
3337,22.4379,3.76546
5729,20.8669,4.87233
4576,24.7352,3.29242
5541,26.9306,3.91448
6728,17.0925,5.18338
1764,23.3263,4.0342
3132,29.4136,2.42947
6061,30.7073,4.04943
6191,23.9718,4.13078
6523,25.5338,3.92192
4613,30.834,2.18273
1772,30.3122,2.81253
5593,23.421,4.22232
6520,28.7756,4.24365
5893,22.11,4.36045
5331,27.6882,3.18648
4253,28.0216,2.40009
6083,22.6636,4.09544
6204,18.721,4.47003
4817,23.7156,4.26975
4537,24.5723,4.38283
5584,26.9746,4.44612
4739,22.5216,3.31559
5983,19.817,4.38707
5087,23.7284,3.30777
6035,23.0598,3.27015
6525,23.9368,4.21069
5985,26.8798,2.96839
6579,26.2527,3.1722
6062,24.1345,4.68622
6522,22.8911,4.75328
4801,26.2848,4.55401
6118,23.7317,4.64748
6434,24.3732,3.56176
5648,27.7964,3.96437
6432,25.3646,4.04903
6187,25.8899,4.26993
6508,28.3653,3.78704
6050,25.8341,3.89581
5988,24.9463,4.14101
5663,25.2791,3.76474
6510,22.7677,3.76823
6524,24.4595,4.37929
5606,34.7141,4.54342
6509,22.7483,4.26294
6063,25.3415,4.17628
6476,20.7088,4.36079
6575,26.5627,4.37922
4614,21.469,4.28316
6440,18.3644,4.35562
6447,22.2582,4.58658
4802,20.5443,4.61728
6007,19.2635,4.48961
5876,21.9918,4.60668
4529,24.2198,4.65663
6449,18.9003,4.34311
4729,24.2689,4.53853
6769,25.0776,4.59379
5564,23.7868,4.27063
6770,25.5879,4.48153
5333,23.3498,4.37105
60,28.2059,2.97951
6530,30.2467,3.89965
4146,28.3446,3.16921
4135,27.6277,3.19521
3577,23.1716,3.35329
4565,25.0423,3.28074
991,22.3734,3.32453
498,28.3703,3.05813
2478,25.1522,3.03153
3019,25.5684,2.89757
996,23.8336,3.19851
842,26.9356,2.93875
1492,24.7182,3.22005
4153,24.2888,3.52211
6413,23.6547,3.21529
4183,27.2487,3.26963
1160,20.9991,3.33553
6314,29.4016,2.93151
1011,28.1186,3.13105
3785,29.8558,4.78562
6482,24.2084,4.67628
3669,22.3629,3.64185
2647,20.9115,3.53691
4841,25.6592,3.02622
3187,25.1137,3.40746
5207,27.5953,4.66447
6697,21.2118,4.63804
5059,24.9049,4.75402
4355,29.2005,3.15313
6656,24.8621,4.76986
6641,23.6949,4.51342
6127,23.0337,4.47733
1165,25.4063,3.31576
6585,18.9212,4.55637
4400,24.9337,3.21924
6518,25.4413,4.43668
6017,22.906,3.30527
4985,26.7046,4.85326
2375,23.5261,3.29788
1828,21.7845,3.50079
6221,23.5614,4.72179
3009,25.3035,3.53101
5465,23.6048,3.99276
6352,24.6717,3.9704
6479,24.5805,3.65638
2403,27.2007,3.08546
6674,24.2358,4.01264
1726,23.5949,2.97016
